question,predicted
Opel once owned and manufactured the brand known under one shared name in New Zealand and Australia and that brand is now a subsidiary of what company?,Opel Automobile GmbH is a German automobile manufacturer a subsidiary of the French automobile manufacturer
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,Traugott von Sauberzweig was Military Governor of Brussels in the days of what
How has played in more bands Kim Wilson or Chino Moreno?,Who is best known as the lead vocalist and contributing guitarist of Deftones?
The album Mr. 12 String Guitar features a singer that hosted a variety show from 1969 to 1972 on what newtork?,Mr. 12 String Guitar is an instrumental folk album featuring the 12 string guitar of American singer/
Which Turkish leisure airline started operations under its own AOC in April 2011?,Which Turkish leisure airline headquartered in Antalya is a Dutch branch of the Cor
Phil Urban CEO of Mitchells & Bustlers manages what in the United Kingdom?,Philip Urban is CEO of which company that runs around 1600 managed pubs bars and restaurants throughout the
Which Walt Disney film was produced first The Apple Dumpling Gang or Something Wicked This Way Comes?,Which film was produced first The Apple Dumpling Gang or Something Wicked This Way Come
What was the real name of the author of the book Coraline has been compared to?,Who wrote the 1865 fantasy novel that was compared to Alice's Adventures in Wonder
The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film starred an Indian actor and stand-up comedian who gained popularity on
Between MetroSource and Chicago which magazine is published more frequently?,Which magazine is published first Metrosource or Chicago?
Who has a wider scope of profession  José Echegaray or Graham Swift?,Who was born first José Echegaray or Graham Swift?
Indie studio Jumpship developed what puzzle-platform video game released in July 2010?,Which game was released first Somerville or Limbo?
What genre does Orkworld and John Wick have in common?,Orkworld is a fantasy role-playing game featuring orks and John Wick
Are Stanley Elkin and Anne Tyler from the same country?,Are Stanley Elkin and Anne Tyler both writers?
Which genus has more species in it Othonna or Stangeria?,Which genus of African plants is more closely related to the Australian genus Bowenia
Who is younger Pelle Almqvist or Steve Winwood?,Who is older Steve Winwood or Pelle Almqvist?
Who was born first George Kuchar or Arthur Penn?,Who was born first George Kuchar or Arthur Penn?
Besides the song OK Computer what did the same band record in 1995?,What song was released as the third and final single from OK Computer?
Which star of Here Come the Munsters was born in Philadelphia ?,Which actress and model starred in the film The Assassination of the Queen?
What network does the original presenter of ITV Nightly News currently present for?,What news channel was the presenter of the 20-minute bulletin originally presented by Dermot
Who is the son of the author of the short story The Enormous Radio.,Who was the son of Mary Winternitz and writer John Cheever?
Is Bob Hewitt a citizen of a different country than Ray Ruffels?,Are Raymond Owen Ruffels and Ray Ruffels both former professional tennis players?
Were the films Crazy Love and Welcome to Nollywood both released in 2008?,Are Crazy Love and Welcome to Nollywood both documentary films?
Which singer/songwriter is the Executive Vice President of A&R at Capitol Records Nate Albert or Rod Stewart?,Who is older Nate Albert or Rod Stewart?
 The 2010–11 Old Dominion Monarchs basketball team was led by the coach of what nationality?,What nationality is the head coach of the Monarchs?
Who wrote the 1996 American historical drama film in which William Preston appeared?,Who wrote the film that featured the character of the character who appeared in Waterworld?
Which award did the author of Anastasia on Her Own win in 2002?,Anastasia on Her Own (1985) is a young-adult novel by Lo
Who was involved in observing the natural progression of untreated syphilis in rural African-American men in Alabama?,Who was the senior surgeon and the acting chief of the venereal disease program in the United States
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,In what county did the district where the House of Representatives was represented in from 2011 to 2013
Which band has had more members The Operation M.D. or Del Amitri?,Which band was formed first The Operation M.D. or Del Amitri?
Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis Supersonic as a film producer?,Who produced the film directed by Asif Kapadia and Amy Yen and co-produced
What title did the author of Det norske Theater's first production hold ? ,Which writer essayist philosopher historian and playwright was born in Bergen Norway during the time
What lawyers were featured in The State of Marriage with the lawyer nominated by Governor Peter Shumlin?,Who was the nominee for the Supreme Court in 1999?
What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,What is the official currency of Japan?
Q Who was born first Richard Boleslawski or Herschell Gordon Lewis?,Who was born first Richard Boleslavsky or Herschell Lewis?
In what city are both 8 Spruce Street and the World Trade Center located?,What city was the original World Trade Center located in?
which league is the 121th season of top-tier competitive football in Switzerland which Ulrich Forte coach FC Zürich in the league ,What is the 121st season of top-tier competitive football in Switzerland and the 15
Andrea Camplone is a football coach in which 22-team competition?,Andrea Camplone is a former player currently in charge as head coach of Cesena
Which dog is based in Switzerland Appenzeller Sennenhund or Drentse Patrijshond?,Which breed of dog is larger Appenzeller Sennenhund or Drentsche 
What is type of philosophies is The Structure of Liberty about?,The Structure of Liberty is a book by legal theorist Randy Barnett which offers 
Reveille Park is the eighth album by which American rapper born on October 5 1970?,Reveille Park is the eighth album by which American rapper founder of Dope House Records and 
Where does the descendant of the Red Setter originate? ,Scotch Collie and Irish Setter are both breeds of dog that originated in what
Is the university that owns WCSU-FM historically black or white?,What is the ethnicity of the university that owns the station that is currently owned by Central
In the USA a tobacconist also called a tobacco shop or smoke shop is traditionally represented by which advertisement figure that is often a three-dimensional wooden sculpture several feet tall?,What is the name of the advertisement figure that is traditionally represented by a tobacconist shop
Which American comedian actor writer producer and voice actor from Hot & Fluffy voices a character in The Nut Job?,What American comedian actor known for his shows I'm Not Fat... I'm Fluffy
What disease is the Wolf Prize winner and Vadim  Bereinskii-inspired Nobel laureate suffering from?,Vadim L'vovich Berezinskii led to the discovery of the
Who is a poet Rumi or Farouk El-Baz?,What was the name of the poet who was also known as Jall ad
Britt Walford played with what musician who is best known for his guitar work in the band Maurice,What American alternative rock musician was replaced by Ben Daughtrey in the band Maurice?
What occupation have Carly Gullickson and Francesca Schiavone both held?,Carly Gullickson and Francesca Schiavone are both who?
What genre of music did Benjamin Burnley and Yannis Philippakis have in common?,Benjamin Burnley and Yannis Philippakis have which genre of music?
Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega Nick Frost Jodie Whittaker and Luke Treadaway.,Which film was written by Joe Cornish and starring John Boyega?
 Om and SIx Organs of Admittance are both what?,Om / Six Organs of Admittance is a split 7 by which American
Are both Ride a Wild Pony and Frozen 2 computer-animated films?,Are Ride a Wild Pony and Frozen 2 both films?
Barranca de Yaco is a geographical feature along an ancient road that is approximately how many miles long?,What was the length of the road that Barranca de Yaco is located along?
What are some other areas that share a common deer species with the forests of Mara and Mondrem?,What country has the most game in the world that includes wild boar and red fallow and
What is the approximate population of the town near which Forward Operating Base Gibraltar was located ?,What is the population of the town where FOB Gibraltar was located?
What is the age range of the league for which the Bobby Smith Trophy is awarded?,The Bobby Smith Trophy is awarded annually to the Ontario Hockey League (OHL) Scholastic
Are both Kyosuke Himuro and Boy George musicians from the 1980s?,Are Kyosuke Himuro and Boy George both singers?
The pilot and author of Highest Duty My Search for What Really Matters was hired by which news station in 2011?,Highest Duty My Search for What Really Matters was written by Chesley Sullenberger
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,How to Irritate People was a 1968 television broadcast written by John Clee
Which women's magazine was published first Mirabella or Home Monthly?,Which magazine was published first Mirabella or Home Monthly?
Which country is the Taipa island part of?,Taipa is an island in Macau presently united by an artificial landfill to the island
What year did the VIacom subsidary Paramount Pictures make the silent film Through the Glass Window?,What year was the film that was directed by Maurice Campbell and written by Olga Print
Which of the following cities is a county-level city Jingzhou or Zixing?,Which city is under the administration of Chenzhou Jingzhou or Zixing?
The group formed during the summer of 2007 included what girl born in 1987?,Which English singer-songwriter formed The Saturdays?
Which documentary film came out first The Last Lions or Prophet's Prey ?,Which film was released first The Last Lions or Prophet's Prey?
Which Dutch media tycoon transferred all of its media activities to Talpa Holding?,Who is the Dutch media tycoon who has transferred all of its media activities to
What professionn does Stanley Kwan and Ken Hughes have in common?,Stanley Kwan and Ken Hughes have which occupation?
Focus is a 2015 American romantic crime comedy-drama film starring an Australian actress who was also cast in what soap opera?,Focus is a 2015 American romantic crime comedy-drama film starring an Australian actress and
What year was Playford B Power Station permanently closed in by its Australian operator?,Playford B was mothballed in 2012 and its permanent closure was announced by an Australian
Rebecca M. Bergman is the President of a college affliated with what church?,Rebecca M. Bergman is the President of a four-year residential institution that is affiliated
The twenty-first season of South Park was entitled White People Renovating Houses is which episode of the series overall?,White People Renovating Houses is the first episode in the twenty-first season of the
What association did the woman whose museum is located in the Bolling–Gatewood House help found?,The Ida B. Wells-Barnett Museum is named for the founder of what
Who married a man who starred in Marcus Welby M.D.?,Who was the star of the American medical drama television program that aired Tuesdays at 1000
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,What university was the inspiration for the Addams Family home?
Which satellite was operational for longer International Ultraviolet Explorer or EXOSAT?,Which satellite was shut down first International Ultraviolet Explorer or European X-ray Observatory
When was the German actress born who is best known for her role as the Borg Seven of Nine and who has role in  Body of Proof as Dr. Kate Murphy?,What was the birth date of the German actress who was nominated four times for a
Which college was founded first Williams College or University of Southern California?,Which college was founded first Williams College or the oldest private research university in California?
Which was released first The Greatest Game Ever Played or Hot Lead and Cold Feet?,Which film was released first The Greatest Game Ever Played or Hot Lead and Cold Fee
whiich Australian racing driver won the 44-lap race for the Red Bull Racing team?,Who won the 44-lap race in the Formula One Championship in Melbourne?
Where in London was the 2012 Olympic event featuring athletes such as Katsuaki Susa held?,Katsuaki Susa competed at the 2012 Summer Olympics in London at what venue?
The first edition of the Dungeons & Dragons Basic Set was written by a professor at what university?,The first edition of The New York Times was written by an associate professor of neurology at what
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,What city is the university where the University of Minnesota is located?
 The Nike Hoop Summit has had many current NBA players as former participants including what German player from the Dallas Mavericks?,Who was born in 1978 and played for the Dallas Mavericks?
What chef is the owner of a Japanese restaurant in the Tribeca neighborhood and also owns two Bar Masas in New York and Nevada?,Which chef and owner of Tetsu serves a Yakitori-based menu with
Which battle the Battle of Cold Harbor or the Second Battle of Bull Run was fought first?,Which Battle of Cold Harbor or Second Battle of Second Manassas was fought
Which award David Hersey had got for Equus a play by Peter Shaffer ?,What award was given to the designer of a play written in 1973?
Which drink is larger the Apple-Kneel or the Flaming volcano?,Which cocktail is served to a group in a special ritual vessel known as a volcano
Donnie Smith who plays as a left back for New England Revolution belongs to what league featuring 22 teams?,Donald W. Donnie Smith plays in what men's professional soccer league sanctioned by
Which body of water flows through more states Tamiami Canal or Genesee River?,Which tributary of Lake Ontario flows northward through the Twin Tiers of Pennsylvania and
Corn Ranch is a spaceport where test flights are carried out by a company headquartered in what state?,Corn Ranch is a spaceport in the West Texas town of Van Horn Texas where flight tests
Who was born first out of Todd Field and Aaron Katz?,Who is older William Field or Aaron Katz?
What Andy Williams' album did a song written by Charles Wesley appear on?,What was the first Christmas carol that was recorded before the Christmas album that was released in 1963
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Who wrote the book that Michael Cremo and Drutakarm ds
What abbey founded in 598 was Clarembald a monk at?,Clarembald was a medieval Benedictine monk and abbot-elect of
What class of yamaha class sport bike motorcycle did Ryuji Yokoa use when he finished as champion in the MFJ All Japan Road Race GP250 Championship in 2006?,Yokoe Yokoe has previously competed in the MFJ All Japan
What instrument does Duff McKagan play on Macy Gray's single Kissed It?,What do the members of the band that released the song The Man Who Was A Man with Dave
Who designed the casino that The Venetian Macao is modeled on?,What design firm designed the hotel tower that is modeled on its sister casino resort The Vene
What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1800000?,Who was convicted of hacking the private intelligence firm Stratfor and released the leaks
 Who was the husband of the prominent Walton family member who died after John died in 2005?,Who was the wife of Wal-Mart and Sam's Club founder?
Which facility was founded in Missouri Discovery Zone or Valentino's?,Which restaurant chain opened first Discovery Zone or Valentino's?
Kevin Short had a role as the Jailer in which three-act French opera?,What French opera in three acts divided into twelve scenes with linking orchestral interludes with music
Armie Hammer stars as Oliver in a film directed by who ?,Who directed the film that Oliver starred in?
What classmate of Tony Hendra is the Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge?,Tony Hendra was a classmate of which English theoretical physicist cosm
Who is a Brazilian mixed martial artist in the UFC who Namsaknoi Yudthagarngamtorn coached?,Namsaknoi Yudthagarngamtorn spent 6 years in Singapore
what year was the writer of the blog Preposterous Universe born?,What year was the author of the blog Preposterous Universe born?
George Reed was along with which Drake University player one of the greatest running backs in CFL history?,Who played college football at Drake University with Mike Pringle?
Siegi Sessler was the restaurateur whose club was frequented by which actress with Welsh ancestry?,What American actress with Welsh ancestry of film television and theater was born in New York
Where is the American honky tonk country band whose first studio album was Honky Tonks and Cheap Motels based?,Honky Tonks and Cheap Motels is the first studio album by an American hon
What prominent director worked with Orion Pictures and was born in December of 1935?,Who was the director of Orion who worked with Orion during its most successful years from 1978
In the 1970s which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?,What company was acquired by House of Fraser by the father of the founder of?
The USS Daedalus was named after an exiled Athenian representative of artists from which culture?,What Aegean Bronze Age civilization preceded the Mycenaean civilization of
Command and Control was a book that discusses the 1980 incident in what state?,What state did the 1980 Damascus Titan missile explosion and the 1961 Goldsboro
Which iPhone was the first to be completely developed by the Chief Executive Officer of Apple who was born in 1960?,What is the name of the sixth generation of the iPhone that was developed under the guidance of 
Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,In what year did the band that was married to Tremonti disband?
Which player is from Brazil Jimmy Connors or Maria Bueno?,Who is older James Scott Connors or Maria Bueno?
When was the University established where Laura Landweber is a professor ?,What year was the university where the professor of biochemistry and molecular biophysics and of
Were Basil Dean and Francis Ford Coppola both alive at some point in time?,Are Francis Ford Coppola and Basil Dean both film directors?
Whitford Lodge once held a branch of the bank that later became which national bank?,What American national bank was once a branch of the Hudson United Bank?
Who created the term that the author of A Piece of Danish Happiness uses to explain why Danish people are the happiest in the world?,Who created the Law of Jante in his novel A Fugitive Crosses His Track
How many players are in the club in which Stephen Curry became part of in the 2015-2016 NBA season?,What number of seasons have the players who became the first player in NBA history to be elected MVP
Which magazine has been around longer Guitar World or Golf Digest?,Which magazine started in 1950 Guitar World or Golf Digest?
Bride of the Regiment was later remade into a 1948 film starring the actress and pin-up girl who was the highest-salaried American woman in which two years?,What year did the actress who starred in That Lady in Ermine earn more than $3 million
Did the playwrights Eugène Ionesco and Paul Scott live during the same time period?,Are Eugène Ionesco and Paul Scott both playwrights?
Svíčková is a dish that includes dumplings that are prepared in what way?,What type of dumplings are served with the knödel?
North Midland Divisional Engineers took part in a battle during WWII that went on for how many weeks ?,What was the time when the German forces defeated Allied forces by mobile operations?
What Lord of the Rings actor starred alongside Paul Hogan in Flipper?,Which actor starred in the 1996 adventure film remake of the 1963 film of the same name?
Who co-starred in an episode of The ABC Comedy Hour with the man who played Duke Slater in Gomer Pyle U.S.M.C.? ,Who starred in the ABC Comedy Hour?
Who covered the song I Love You by Chris Write?,I Love You was covered by which band?
What was the title of the failed magazine that preceded and inspired the The Science Fiction League?,The Science Fiction League was created by Hugo Gernsback in 1934 in the pages of
Consider the band formed in 2015 by JYP Entertainment through the reality show Sixteen. How many tracks are on the reissue of their third album?,What is the number of tracks in the album of the South Korean girl group formed by JY
This British television series was adapted from one of the better-known novels of a 19th-century writer and was first published in what magazine? ,What magazine was the first published in which Cranford was adapted from?
Wojtek Wolski played for what team based in the Miami metropolitan area?,What professional ice hockey team based in the Miami metropolitan area has a player who has
What IBF Light Flyweight Championship winner was related to the Mexican boxer born on May 28 1986 in Mexico City?,Alonso López is the son of which retired undefeated Mexican professional
Jayaprakash Narayan was posthumously awarded what highest Indian civilian award?,What is the highest civilian award of the Republic of India?
Ithihasa and the Indian music composer of  Chronic Bachelor Udayananu Tharam Naran Puthiya Mukham Urumi Grandmaster and Bhaskar the Rascal are known in what type of films/cinema?,What language is the composer of Ithihasa?
Are Stephen Frears and Jan Švankmajer from the same country?,Are Stephen Frears and Jan vankmajer both filmmakers?
Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,What company designed and marketed the iPhone 4S?
The Wright Model B was an early pusher biplane designed by what inventors and aviation pioneers who are credited with building the world's first successful airplane?,Who designed the Wright Model B?
Kieran Crichlow is a footballer from what island in the Lesser Antilles?,Kieran Crichlow is an international footballer from what island country in the Less
The home video game console that was developed by Sony Computer Entertainment is a platform for a racing video game developed by who?,Formula One 2001 is a racing video game for a home video game console that was developed
What actor from Willow also starred in The Usual Suspects?,Which actor landed a role in Willow in 1988?
What American filmmaker was the co-founder of Troma Entertainment film studio Stanley Lloyd Kaufman Jr. or Jay T. Wright?,Which American film director is co-founder of Troma Entertainment film studio and the director of
Are Southwest Florida International Airport and Henry E. Rohlsen Airport both in Florida?,Are Southwest Florida International Airport and Henry E. Rohlsen Airport both in Florida?
Matt Doheny lost his primary race to what current youngest woman ever elected to Congress?,Who won the primary for the youngest woman ever elected to Congress?
Which was released first Hot Girls Wanted or China Blue?,Which documentary was released first Hot Girls Wanted or China Blue?
Look At Us Now is a song by American DJs based in which city ?,Where is the duo that created Look At Us Now based?
Charles Barton Chuck Kendall Jr. was reportedly interested in purchasing the Los Angeles Clippers from which Jewish-American businessman?,Who was the owner of the Los Angeles Clippers who sold the Los Angeles Clippers in 1982
How many episodes were in the season of Rick and Morty that featured an episode called The Ricks Must Be Crazy?,The Ricks Must Be Crazy is the sixth episode in the second season of the American animated television
The star of Under the Silver Lake made his debut in what film?,What 2007 ensemble drama did Andrew Garfield star in?
Dorian Gray is the main character of what philosophical novel whose editor feared the story was indecent and deleted roughly five hundred words before publication?,Which novel by Oscar Wilde was published first Dorian Gray or Dorian Gray?
Darryl Kubian's O for a Muse of Fire is based upon the events surrounding which historical battle? ,Darryl Darryl's latest work O for a Muse of Fire is based
Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Evan Samuel Williams played for what professional association football club based in the city of Wolver
Where was the Barbadian singer which Rihanna was his then girlfriend raised in ,Where was the singer who pleaded guilty in the assault of his then girlfriend born?
What was the name of the first soundtrack album made by the woman who is referred to as the Queen of Pop?,Which soundtrack album by the Queen of Pop is the first by Madonna?
In what ecclesiastical province is Stephen Conway currently part of?,Bishop of Ely is the ordinary of the Church of England Diocese of Ely in what
Who is younger Wayne Coyne or Toshiko Koshijima?,Who is older Wayne Coyne or Toshiko Koshijima?
In the Morpeth Arms pub in London there's a Spying Room with a view overlooking the headquarters of which organisation?,The Spying Room at Vauxhall Cross houses the headquarters of what foreign intelligence agency?
Which band formed first Duran Duran or The Fratellis?,Which band formed first Duran Duran or The Fratellis?
