question,predicted
This singer of A Rather Blustery Day also voiced what hedgehog?, When was the 1940s hedgehog voiced?
Aside from the Apple Remote what other device can control the program Apple Remote was originally designed to interact with?, Can thekeyboard function keys
Which performance act has a higher instrument to person ratio Badly Drawn Boy or Wolf Alice?, Where is Ian Osborn 5:30 p.
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?, Which country is Kasper Gus Ntjalk's father from?
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?, Which woman has appeared on Winner Winner Judge
The 2011–12 VCU Rams men's basketball team led by third year head coach Shaka Smart represented Virginia Commonwealth University which was founded in what year?, What basketball 5 years ago? (2011–13) was founded by Shaka Smart
Are both Dictyosperma and Huernia described as a genus?, Which type of tree does Buena Vista National Park
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?, How does a popular science-fiction property find a
What is the name for the adventure in "Tunnels and Trolls" a game designed by Ken St. Andre?, What is the headquarters of the GoS India satellite
When was Poison's album "Shut Up Make Love" released?, When was Poison's album released?
Hayden is a singer-songwriter from Canada but where does Buck-Tick hail from?,  Were the two member rock bands that were formed by Buck-Tick
Which  French ace pilot and adventurer fly L'Oiseau Blanc, Your cockpit voice was previously described as "French"
Are Freakonomics and In the Realm of the Hackers both American documentaries?, What is the Convention on the Rights of the Child
Which band Letters to Cleo or Screaming Trees had more members?, Are there any B-movies of the 1970
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?, What orders were sent to investigate Soviet sabotage of power
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?, The magazine Sound & Baz was written by Bobby Wad
The Livesey Hal War Memorial commemorates the fallen of which war that had over 60 million casualties?, Are Soviet Union and S.S. Egypt both
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?, Which city hosted an annual "Miss the 8")
Ralph Hefferline was a psychology professor at a university that is located in what city?, What was the length of "Box of Magh
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?, Who are the dog's ancestor breeds
Where is the company that Sachin Warrier worked for as a software engineer headquartered? , Where did Sachin work on code?
A Japanese manga series based on a 16 year old high school student Ichitaka Seto is written and illustrated by someone born in what year?, Masakazu Katsura is an independent Japanese published when?
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?, What were the kingdoms of Agra Bons losing in Ethiopian battles
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?, Which of the five doubles is the "Alice" of United State the secretary of New Media
A medieval fortress in Dirleton East Lothian Scotland borders on the south side of what coastal area?, Are the local community traditions Grey Crow to the south of which place?
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?, Who wrote Back to Mono?
What type of forum did a former Soviet statesman initiate?, What is a "Russia-2015" conference held
Are Ferocactus and Silene both types of plant?, Are Ferocactus and Silene both types of plant? 
Which of the following holo related specimens is the bomber used in the Pacific World War II,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?
When was the commencement of Engineering and Science and Technology Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?, Are the 2009–10 Colorado Buffaloes and
In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?, How many chains did the supermarket have in 2020?
What race track in the midwest hosts a 500 mile race eavery May?, The 500 mile race was a regular NASCAR Sprint Cup whose name was
In what city did the "Prince of tenors" star in a film based on an opera by Giacomo Puccini?, Prince of tenors is an Italian film of which country? 
Ellie Goulding worked with what other writers on her third studio album Delirium?, Zelei Kotecha and Max Martin both
Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name., How often do name-dropping happen in the Alternative?
D1NZ is a series based on what oversteering technique?, Are IceSkates IceMAN the best way to oversteer?
who is younger Keith Bostic or Jerry Glanville ?, Who is the youngest of Bostic & Glanville ?
According to the 2001 census what was the population of the city in which Kirton End is located?, How many people in East Grahamville receive the education?
Are both Cypress and Ajuga genera?, How old were the dinosaurs built in the 18th?
What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,Are Lady Rebels and the Tennessee Lady Raiders full-height or one of the shortest?
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?, Who is Roald Dahl and Jerry Goldsmith’s producer
Who was born earlier Emma Bull or Virginia Woolf?, Are both books by Virginia Woolf devoted to quantum only?
What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?, Do short mindless Norwegian songs have very small vocabulary of what size?
Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?, The taxes a company charges to pay its employees and Exxonmobil is a culprit where?
What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?, Who was in Jawbreaker?
What episodes with Savile Scott and other lesser characters Vince Phillips held a junior?, What weight title by an organization recognized by what larger Hall of Fame?
Who is the announcer for the "Big Show" of Boxing What is the name of the singer who's song was released as the lead single from the album "Confessions", and that had popular song stuck behind for eight consecutive weeks?
What would a recurring lead single from the 2007 Australian,who is the younger brother of The episode guest stars of The Hard Easy 
Who is Bill Murray’s brother,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?
Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team the "Teen Titans"?, What sort of action-packed superhero series was designed
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014, Which regiment on the SS-Standarte is a
What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag?, What is the name of the first Suruga genus
What was the name of the 1996 loose adaptation of William Shakespeare's "Romeo & Juliet" written by James Gunn?, Orocco has long surrounded Juliet with great feelings in which story?
Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?, Courtney Witchengam's determination to keep child
What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?, Who is the best Hawaiian surfer of Portugal
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?, What term will I associate with a John Barry name
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?, What posse of pirates are under permanent command for indigenous people?
What nationality were social anthropologists Alfred Gell and Edmund Leach?, He used to be a university professor
In which year was the King who made the 1925 Birthday Honours born?, What is a honours medal?
What is the county seat of the county where East Lempster New Hampshire is located?, What township has the largest library in the Greater Toronto
The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?, When is a solo album released by a Canadian artist
Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?, What group drafted the young Andrei Alexandrescu
Handi-Snacks are a snack food product line sold by what American multinational confectionery food and beverage company that is based in Illinois?, What brand name company is founded by whose number
What was the name of a woman from the book titled "Their Lives: The Women Targeted by the Clinton Machine " and was also a former white house intern?, Are unlawful impressions by Neoliberal men glass lettered
When was the American lawyer lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?, Who was in Trump's campaign
In what year was the novel that Lourenço Mutarelli based "Nina" on based first published?, Did the author of the "La Plata Parad
Where are Teide National Park and Garajonay National Park located?, What is the population of Ceuta Campe in the Teide National Park 
How many copies of Roald Dahl's variation on a popular anecdote sold?, What books have Roald and 1983 published which were
What occupation do Chris Menges and Aram Avakian share?, Winter is coming to a close!
Andrew Jaspan was the co-founder of what not-for-profit media outlet?, Fifty Shades of Grey star Lena Headey
Which American film director hosted the 18th Independent Spirit Awards in 2002?, Hello independent and independent film critics.
Where does the hotel and casino located in which Bill Cosby's third album was recorded?, Sylvester McCoy
Do the drinks Gibson and Zurracapote both contain gin?, Just what uses an alcohol recipe to get a gin
In what month is the annual documentary film festival that is presented by the fortnightly published British journal of literary essays held? , Towards which city is a documentary film film
Tysons Galleria is located in what county?, What mall in Fairfax County Virginia would be
Bordan Tkachuk was the CEO of a company that provides what sort of products?, What sells so much good tobacco?
Which filmmaker was known for animation Lev Yilmaz or Pamela B. Green?, Grizzle Yilmaz worked with actress
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?, Do many Muslims in China have a UN scari
Are Yingkou and Fuding the same level of city?, What county in the Yingkou in?
