question,predicted
San Jose Secondary Educational Center is located on the cost of what sea? ,San Jose Secondary Educational Center Málaga Spain is a municipality capital of the Province
What member of the South Korean-Chinese boy group EXO stars in the upcoming movie The Underdog?,The Underdog stars which member of the South Korean-Chinese boy group EXO?
Did the host of Splash! win a gold silver or bronze Olympic medal?,Splash! is a British television show which teaches celebrities the art of diving with the
WFMT FM radio transmits from the second tallest building in the United States which is located where?,WFMT transmits from the second-tallest building in the United States and
What is the birthday of the author of She Walks These Hills?,When was the author of She Walks These Hills born?
Charles Coughlin was a controversial Canadian-American Roman Catholic who also started what rumor?,Frances Sweeney edited her own newspaper the Boston City Reporter and started the Rumor Clinic
Joe Ford played for which football club based out of Old Trafford?,What professional football club based in Old Trafford Greater Manchester England that competes in the Premier
Emily Beecham is best known for her role in a televsion series whose second season premiered on what date?,Emily Beecham is best known for her role in an American television series that premiered
One of the directors of Mediastan is well-known for founding what organisation in 2006?,Mediastan is a 2013 documentary film about the 2010 United States diplomatic cables leak
In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Attack Squadron 174 was based at a United States Navy air base located in what county?
Where is the closest relative to the whale located?,The hippopotamuses belong to the order Cetartiodactyla with
Which player won more Grand Slam titles Kevin Ullyett or Billie Jean King?,What former World No. 1 professional tennis player was on the ATP Tour in men's
The physicist that saw a deficiency in Newton's classical theory of gravity received a Nobel Prize in what year?,In what year did Albert Einstein receive the Nobel Prize in Physics?
In what year did the parent show of The URL with Phred Show end?,Phred on Your Head was a spin-off series that aired from September 10 2001
What two shows is the director of the first Clone Wars series known for creating?,Kilian Plunkett is best known for creating what Cartoon Network animated television series
What Chinese company helped develop the aircraft that preceded the Chengdu J-7?,The J-7 was extensively re-developed into the PAC JF-17 Thunder
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?,Michał Wiśniowiecki was a Polish–Lithuan
How many acts is the ballet Rita Sangalli premiered in in the year 1876?,What is the full-length ballet in which Léo Delibes choreographed
Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club and was held at what location in Melbourne in 1945?,William Herbert 'Billy' King (17 August 1920 – 23 August 1990) was an
When did the park at which Tivolis Koncertsal is located open?,Tivolis Koncertsal is a 1660-capacity concert hall located at T
Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,State Route 111 runs east–west connecting the towns of Alfred and Biddeford
Do tennis players Kathy Jordan and Sergi Bruguera have the same nationality?,Are Kathryn Jordan and Sergio Bruguera both tennis players?
Which University University of New South Wales or Purbanchal University was established first ?,Which university was established first The University of New South Wales or the University of Nepal?
What is the main base for the parent company of LATAM Express?,LATAM Express is a subsidiary of LATAM Express and has a main hub in
Giovanna d'Arco is an opera that was created by the composer of what nationality?,Giovanna d'Arco is an operatic dramma lirico with
Who manages the Laboratory that ran the Aurora Generator Test?,Idaho National Laboratory ran the Aurora Generator Test in 2007 to demonstrate how a cyber attack
Drisheen is what type of product made in Ireland and other parts of Europe?,What type of blood sausage is commonly eaten in Great Britain Ireland and in other parts of
The 59th Infantry Division covered the deployment of the 35th Infantry during the Allied operation during what war?,Operation Overlord was the codename for the Allied operation that launched the successful invasion of
Who signed into law the act made to lower barriers to adoption?,The Adoption and Safe Families Act was signed into law by who?
Who was born first Steve Hogarth or Donnie Munro?,Who was born first Donnie Munro or Steve Hogarth?
What are both Jack Rabbit and Leap-The-Dips made of?,Jack Rabbit and Leap-The-Dips are both what?
Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist playwright theatre director and poet?,What Irish avant-garde novelist playwright theatre director and poet wrote in both
What man with a lazy left eye starred in Sacred Ground?,Sacred Ground is a 1983 western adventure film directed by Charles B. Pierce and starring
What is the name of the girl group that the host of the Nickelodeon Australian Kids' Choice Awards 2006 was a member of?,Which girl group did Sophie Monk host?
What man is linked to both Johnny Tremain and Magic Kingdom?,Johnny Tremain is a 1957 film made by which company?
On what album is Samuel Sam Ervin Beam's cover of Such Great Heights featured?,The Shins released the single There's Never Enough Time as the lead single from what
What city in the Philippines is home to the Robinsons Galleria and the 4th largest shopping mall in the world?,Robinsons Galleria is a mixed-use complex and shopping mall located in which
Which one of Magna Publishing Group's tiles is a spinoff of the UK's Club International?,Which magazine is a spin-off publication of the United Kingdom's Club International?
Rani Jhansi Marine National Park commemorates what queen of the princely state of Jhansi in North India?,Who was the queen of the princely state of Jhansi in North India
Which English singer from the 1960s has an album entitled Dangerous Acquaintances released in 1981?,What English singer songwriter and actress released Dangerous Acquaintances?
The first Latina Supreme Court Justice was part of the majority decision of a case that upheld which previous supreme court case?,Alleyne v. United States was a United States Supreme Court case that decided that
Who was the pivotal in the formation of schools catering for the primary and early secondary education of children in remote and outback Australia?,Who was pivotal in the formation of the School of the Air using the existing Royal Flying
In which 2017 film did this South Korean actor of  Dream High (2011) and the 2012 South Korean television drama series featuring Han Ga-in Jung Il-woo and Kim Min-seo appeared in 2017?,Moon Embracing the Sun is a 2012 South Korean television drama series starring a South
Where Ken Kwapis and John Woo both working on films in the 1980's?,Are Ken Kwapis and Ken Woo both directors?
What is the name of the town linked by rail to Kendal named after a lake of the same name?,Windermere Hotel is located near a town that has now grown together with Bown
The company that Park Joo-mi made her entertainment debut as a model for has its headquarters in what building in Seoul?,Where is the headquarters of the company in which Park made her entertainment debut?
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,State Route 78 (SR 78) is a state highway that runs for 105 miles (
Chancellor Otto von Bismark and Reichstadt agreement were also part of what League?,The Reichstadt agreement was an agreement made between Austria-Hungary and Russia in July
Opel once owned and manufactured the brand known under one shared name in New Zealand and Australia and that brand is now a subsidiary of what company?,Opel Automobile GmbH is a German automobile manufacturer a subsidiary of the French
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,Traugott Martin von Sauberzweig was the Military Governor of Brussels in
How has played in more bands Kim Wilson or Chino Moreno?,Which member of the side-project groups Team Sleep Crosses Saudade and Palms
The album Mr. 12 String Guitar features a singer that hosted a variety show from 1969 to 1972 on what newtork?,Mr. 12 String Guitar is an instrumental folk album featuring the 12 string guitar of an
Which Turkish leisure airline started operations under its own AOC in April 2011?,Which Turkish leisure airline headquartered in Antalya operates a single Boeing 737-800 aircraft
Phil Urban CEO of Mitchells & Bustlers manages what in the United Kingdom?,Philip Charles Urban is CEO of a company that runs around 1600 managed what?
Which Walt Disney film was produced first The Apple Dumpling Gang or Something Wicked This Way Comes?,Which film was released first The Apple Dumpling Gang or Something Wicked This Way Comes?
What was the real name of the author of the book Coraline has been compared to?,Who wrote the 1865 fantasy novel that has been compared to the 2009 stop-motion film
The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which Punjabi film was released first Vaisakhi List or Sunil Gro
Between MetroSource and Chicago which magazine is published more frequently?,Which magazine published by tronc Metrosource or Chicago?
Who has a wider scope of profession  José Echegaray or Graham Swift?,Who was born first José Echegaray or Graham Swift?
Indie studio Jumpship developed what puzzle-platform video game released in July 2010?,Which game was released first Somerville or Limbo?
What genre does Orkworld and John Wick have in common?,Orkworld and John Wick are both what?
Are Stanley Elkin and Anne Tyler from the same country?,Are Stanley Elkin and Anne Tyler both writers?
Which genus has more species in it Othonna or Stangeria?,Which genus has more species Othonna or Stangeria?
Who is younger Pelle Almqvist or Steve Winwood?,Who is older Steve Winwood or Pelle Almqvist?
Who was born first George Kuchar or Arthur Penn?,Who was born first George Kuchar or Arthur Penn?
Besides the song OK Computer what did the same band record in 1995?,No Surprises is a song by the English alternative rock band Radiohead released as the
Which star of Here Come the Munsters was born in Philadelphia ?,Which actress born November 20 1943 in Philadelphia starred in a film that was directed by Edward
What network does the original presenter of ITV Nightly News currently present for?,The 20-minute bulletin originally presented by newscaster Dermot Murnaghan
Who is the son of the author of the short story The Enormous Radio.,Who was born first Benjamin Cheever or John Cheever?
Is Bob Hewitt a citizen of a different country than Ray Ruffels?,Are both Ray Ruffels and a South African citizen?
Were the films Crazy Love and Welcome to Nollywood both released in 2008?,Are Crazy Love and Welcome to Nollywood both documentaries?
Which singer/songwriter is the Executive Vice President of A&R at Capitol Records Nate Albert or Rod Stewart?,Who is older Nate Albert or Rod Stewart?
 The 2010–11 Old Dominion Monarchs basketball team was led by the coach of what nationality?,The 10th year head coach of the Old Dominion Monarchs men's basketball team is
Who wrote the 1996 American historical drama film in which William Preston appeared?,Who wrote the 1996 American historical drama film in which the actor who appeared in Waterworld
Which award did the author of Anastasia on Her Own win in 2002?,Anastasia on Her Own (1985) is a young-adult novel by Lois
Who was involved in observing the natural progression of untreated syphilis in rural African-American men in Alabama?,Who was the acting chief of the venereal disease program in the United States Public
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,In what county is the United States House of Representatives district represented by the man who served
Which band has had more members The Operation M.D. or Del Amitri?,Which band was formed first The Operation M.D. or Del Amitri?
Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis Supersonic as a film producer?,Who produced the film Amy worked on?
What title did the author of Det norske Theater's first production hold ? ,What was the name of the writer born in Bergen Norway during the time of the
What lawyers were featured in The State of Marriage with the lawyer nominated by Governor Peter Shumlin?,The State of Marriage is a 2015 documentary film about the origins of the marriage equality movement
What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,The Asahi-Ryokuken Yomiuri Memorial was a golf tournament on
Q Who was born first Richard Boleslawski or Herschell Gordon Lewis?,Who was born first Richard Boleslavsky or Herschell Lewis?
In what city are both 8 Spruce Street and the World Trade Center located?,8 Spruce Street is a 76-story skyscraper designed by architect Frank Gehry
which league is the 121th season of top-tier competitive football in Switzerland which Ulrich Forte coach FC Zürich in the league ,What is the name of the 121th season of top-tier competitive football in Switzerland
Andrea Camplone is a football coach in which 22-team competition?,What league does Andrea Camplone play in?
Which dog is based in Switzerland Appenzeller Sennenhund or Drentse Patrijshond?,Which dog is larger Appenzeller Sennenhund or Drentsche Patrij
What is type of philosophies is The Structure of Liberty about?,The Structure of Liberty offers a theory of what?
Reveille Park is the eighth album by which American rapper born on October 5 1970?, Reveille Park is the eighth album by which American rapper founder of Dope House Records
Where does the descendant of the Red Setter originate? ,The Scotch Collie is a landrace breed of dog which originated from the highland
Is the university that owns WCSU-FM historically black or white?,What is the race of the university that owns the station that is currently owned by the
In the USA a tobacconist also called a tobacco shop or smoke shop is traditionally represented by which advertisement figure that is often a three-dimensional wooden sculpture several feet tall?,What is the name of the advertisement figure in the likeness of a Native American used to
Which American comedian actor writer producer and voice actor from Hot & Fluffy voices a character in The Nut Job?,What American comedian actor writer producer and voice actor is known for his shows I'm Not
What disease is the Wolf Prize winner and Vadim  Bereinskii-inspired Nobel laureate suffering from?,Vadim L'vovich Berezinskii's work led to the discovery of
Who is a poet Rumi or Farouk El-Baz?,Who was born first Rumi or Farouk El-Baz?
Britt Walford played with what musician who is best known for his guitar work in the band Maurice,What American alternative rock musician was replaced by Ben Daughtrey in the band Maurice?
What occupation have Carly Gullickson and Francesca Schiavone both held?,Carly Gullickson and Francesca Schiavone have which mutual occupation?
What genre of music did Benjamin Burnley and Yannis Philippakis have in common?,Ben Burnley IV and Yannis Philippakis have which mutual occupation?
Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega Nick Frost Jodie Whittaker and Luke Treadaway.,John Boyega co-wrote which 2011 British science fiction horror comedy film starring John Boy
 Om and SIx Organs of Admittance are both what?,Om / Six Organs of Admittance is a split 7 by which American
Are both Ride a Wild Pony and Frozen 2 computer-animated films?,Are Ride a Wild Pony and Frozen 2 both animated films?
Barranca de Yaco is a geographical feature along an ancient road that is approximately how many miles long?,Barranca de Yaco is a geographical feature along the ancient camino real (
What are some other areas that share a common deer species with the forests of Mara and Mondrem?,Which country has more species of wild boar and red fallow deer?
What is the approximate population of the town near which Forward Operating Base Gibraltar was located ?,FOB Gibraltar was a British-manned Forward Operating Base in Helmand Province Afghanistan
What is the age range of the league for which the Bobby Smith Trophy is awarded?,The Bobby Smith Trophy is awarded annually to the Ontario Hockey League (OHL) Sch
Are both Kyosuke Himuro and Boy George musicians from the 1980s?,Are Kyosuke Himuro and Boy George both singers?
The pilot and author of Highest Duty My Search for What Really Matters was hired by which news station in 2011?, Highest Duty My Search for What Really Matters is a memoir written by Chesley Sull
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,How to Irritate People is a 1968 television broadcast written by John Cleese Graham
Which women's magazine was published first Mirabella or Home Monthly?,Which magazine was published first Mirabella or Home Monthly?
Which country is the Taipa island part of?,Taipa and Macau are located in which country?
What year did the VIacom subsidary Paramount Pictures make the silent film Through the Glass Window?,Through a Glass Window is a film released in what year?
Which of the following cities is a county-level city Jingzhou or Zixing?,Which city is under the administration of Chenzhou prefecture-level City Jingzhou or
The group formed during the summer of 2007 included what girl born in 1987?,Who was born first The Saturdays or Mollie King?
Which documentary film came out first The Last Lions or Prophet's Prey ?,Which documentary was released first The Last Lions or Prophet's Prey?
Which Dutch media tycoon transferred all of its media activities to Talpa Holding?,Talpa Holding is the company in which Talpa Holding has transferred all of its media
What professionn does Stanley Kwan and Ken Hughes have in common?,Stanley Kwan and Ken Hughes have which mutual occupation?
Focus is a 2015 American romantic crime comedy-drama film starring an Australian actress who was also cast in what soap opera?,Focus is a 2015 American romantic crime comedy-drama film starring an Australian actress and
What year was Playford B Power Station permanently closed in by its Australian operator?,Playford B was mothballed in 2012 and its permanent closure was announced by operator
Rebecca M. Bergman is the President of a college affliated with what church?,Rebecca M. Bergman is the President of a four-year residential institution founded
The twenty-first season of South Park was entitled White People Renovating Houses is which episode of the series overall?,White People Renovating Houses is the first episode in the twenty-first season of
What association did the woman whose museum is located in the Bolling–Gatewood House help found?,The Ida B. Wells-Barnett Museum is home to a museum founded by
Who married a man who starred in Marcus Welby M.D.?,Marcus Welby M.D. starred Robert Young as the title character a family practitioner
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,The Hall of Languages is a building that served as creative inspiration for the Addams Family
Which satellite was operational for longer International Ultraviolet Explorer or EXOSAT?,Which was launched first International Ultraviolet Explorer or European X-ray Observatory Satellite?
When was the German actress born who is best known for her role as the Borg Seven of Nine and who has role in  Body of Proof as Dr. Kate Murphy?,When was the German actress best known for her role as the Borg Seven of Nine born
Which college was founded first Williams College or University of Southern California?,Which college was established first Williams College or California State University?
Which was released first The Greatest Game Ever Played or Hot Lead and Cold Feet?,Which film was released first The Greatest Game Ever Played or Hot Lead and Cold Feet?
whiich Australian racing driver won the 44-lap race for the Red Bull Racing team?,Which Australian racing driver won the 44-lap race for the Red Bull Racing team?
Where in London was the 2012 Olympic event featuring athletes such as Katsuaki Susa held?,The boxing tournaments at the 2012 Olympic Games in London were held from 28 July to 12
The first edition of the Dungeons & Dragons Basic Set was written by a professor at what university?,The first edition was written by an associate professor of neurology at what university?
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,In what city is the university where the Ph.D. in Information Technology was conferred
 The Nike Hoop Summit has had many current NBA players as former participants including what German player from the Dallas Mavericks?,What German professional basketball player for the Dallas Mavericks has participated in the World Select team?
What chef is the owner of a Japanese restaurant in the Tribeca neighborhood and also owns two Bar Masas in New York and Nevada?,Tetsu is a modern Japanese restaurant located in the Tribeca neighborhood of New York City
Which battle the Battle of Cold Harbor or the Second Battle of Bull Run was fought first?,Which battle was fought first Cold Harbor or Second Battle of Bull Run?
Which award David Hersey had got for Equus a play by Peter Shaffer ?,What award did Peter Shaffer win for a play written in 1973?
Which drink is larger the Apple-Kneel or the Flaming volcano?,Which drink is usually a multi-user drink served to a group in a special ritual
Donnie Smith who plays as a left back for New England Revolution belongs to what league featuring 22 teams?,Donald W. Donnie Smith is an American soccer player who plays as a left back
Which body of water flows through more states Tamiami Canal or Genesee River?,What tributary of Lake Ontario flows northward through the Twin Tiers of Pennsylvania
Corn Ranch is a spaceport where test flights are carried out by a company headquartered in what state?,Corn Ranch is a spaceport in the West Texas town of Van Horn Texas where flight
Who was born first out of Todd Field and Aaron Katz?,Who was born first William Field or Aaron Katz?
What Andy Williams' album did a song written by Charles Wesley appear on?,What Christmas album was released first Andy Williams Christmas Album or Hark! The Herald Angels
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Who wrote the 1993 book in association with the Bhaktivedanta Institute of IS
What abbey founded in 598 was Clarembald a monk at?,What abbey was founded in 598 and functioned as a monastery until its dissolution
What class of yamaha class sport bike motorcycle did Ryuji Yokoa use when he finished as champion in the MFJ All Japan Road Race GP250 Championship in 2006?,Yokoe Yokoe has previously competed in the MFJ All Japan Road Race GP
What instrument does Duff McKagan play on Macy Gray's single Kissed It?,What do Slash and Matt Sorum have in common?
Who designed the casino that The Venetian Macao is modeled on?,The 10500000 sqft Venetian Macao is modeled on its sister casino
What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1800000?,HackThisSite.org is an online hacking and security website founded by which political hack
 Who was the husband of the prominent Walton family member who died after John died in 2005?,Who was the wife of the founder of Wal-Mart and Sam's Club?
Which facility was founded in Missouri Discovery Zone or Valentino's?,Which chain was opened first Discovery Zone or Valentino's?
Kevin Short had a role as the Jailer in which three-act French opera?,What French opera in three acts divided into twelve scenes with linking orchestral interl
Armie Hammer stars as Oliver in a film directed by who ?,Who directed the coming-of-age drama film in which James Ivory played Oliver?
What classmate of Tony Hendra is the Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge?,Tony Hendra was a classmate of which theoretical physicist?
Who is a Brazilian mixed martial artist in the UFC who Namsaknoi Yudthagarngamtorn coached?,Namsaknoi Yudthagarngamtorn was an instructor to the
what year was the writer of the blog Preposterous Universe born?,The blog Preposterous Universe was written by a cosmologist born in what year
George Reed was along with which Drake University player one of the greatest running backs in CFL history?,Which Canadian football player played college football at Drake University?
Siegi Sessler was the restaurateur whose club was frequented by which actress with Welsh ancestry?,Which American actress with Welsh ancestry of film television and theater was born in the town of
Where is the American honky tonk country band whose first studio album was Honky Tonks and Cheap Motels based?,Honky Tonks and Cheap Motels is the first studio album by an American hon
What prominent director worked with Orion Pictures and was born in December of 1935?,Which director worked with Orion during its most successful years from 1978 to 1992?
In the 1970s which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?,What group was acquired by House of Fraser in 1976?
The USS Daedalus was named after an exiled Athenian representative of artists from which culture?,Daedalus was the only U.S. Naval vessel to bear the name of
Command and Control was a book that discusses the 1980 incident in what state?,In what state did the incident Schlosser discusses in the book occur?
Which iPhone was the first to be completely developed by the Chief Executive Officer of Apple who was born in 1960?,Which iPhone was developed under the guidance of the Chief Executive Officer of Apple Inc.?
Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,In what year did the band that Scott Stapp is married to disband?
Which player is from Brazil Jimmy Connors or Maria Bueno?,Who was born first James Connors or Maria Bueno?
When was the University established where Laura Landweber is a professor ?,When was the private Ivy League research university in Upper Manhattan New York City established?
Were Basil Dean and Francis Ford Coppola both alive at some point in time?,Are Francis Coppola and Basil Dean both film directors?
Whitford Lodge once held a branch of the bank that later became which national bank?,What American national bank chartered and supervised by the federal Office of the Comptroller of
Who created the term that the author of A Piece of Danish Happiness uses to explain why Danish people are the happiest in the world?,A Piece of Danish Happiness explores why the Danish people are considered the happiest in the world
How many players are in the club in which Stephen Curry became part of in the 2015-2016 NBA season?,How many players have had 50–40–90 seasons in the NBA?
Which magazine has been around longer Guitar World or Golf Digest?,Which magazine started in 1950 Guitar World or Golf Digest?
Bride of the Regiment was later remade into a 1948 film starring the actress and pin-up girl who was the highest-salaried American woman in which two years?,The movie That Lady in Ermine was remade by 20th Century-Fox as
Did the playwrights Eugène Ionesco and Paul Scott live during the same time period?,Are Eugène Ionesco and Mark Scott both playwrights?
Svíčková is a dish that includes dumplings that are prepared in what way?,What type of dumpling does Knödel and Klöße have in
North Midland Divisional Engineers took part in a battle during WWII that went on for how many weeks ?,During World War II German forces defeated Allied forces by mobile operations and conquered France Belgium Luxembourg
What Lord of the Rings actor starred alongside Paul Hogan in Flipper?,Who starred in the 1996 adventure film Flipper?
Who co-starred in an episode of The ABC Comedy Hour with the man who played Duke Slater in Gomer Pyle U.S.M.C.? ,The ABC Comedy Hour was an American television variety series that aired on ABC in 1972 that
Who covered the song I Love You by Chris Write?,I Love You is a 1965 song by The Zombies written by their member Chris White which
What was the title of the failed magazine that preceded and inspired the The Science Fiction League?,The Science Fiction League was one of the earliest associations formed by science fiction fans that was
Consider the band formed in 2015 by JYP Entertainment through the reality show Sixteen. How many tracks are on the reissue of their third album?,How many tracks did the South Korean girl group formed by JYP Entertainment through the 2015
This British television series was adapted from one of the better-known novels of a 19th-century writer and was first published in what magazine? ,Cranford is a British television series directed by Simon Curtis and Steve Hudson based on
Wojtek Wolski played for what team based in the Miami metropolitan area?,What professional ice hockey team based in the Miami metropolitan area has a player who has played
What IBF Light Flyweight Championship winner was related to the Mexican boxer born on May 28 1986 in Mexico City?,Who won the IBF Light Flyweight Championship first Alonso López or Ricardo L
Jayaprakash Narayan was posthumously awarded what highest Indian civilian award?,What award is the highest civilian award of the Republic of India?
Ithihasa and the Indian music composer of  Chronic Bachelor Udayananu Tharam Naran Puthiya Mukham Urumi Grandmaster and Bhaskar the Rascal are known in what type of films/cinema?,Ithihasa is a 2014 Malayalam fantasy comedy film written by Ane
Are Stephen Frears and Jan Švankmajer from the same country?,Are Stephen Frears and Jan Švankmajer both film directors?
Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,What company designed the fifth generation of the iPhone succeeding the iPhone 4 and preceding the iPhone
The Wright Model B was an early pusher biplane designed by what inventors and aviation pioneers who are credited with building the world's first successful airplane?,What American brothers inventors and aviation pioneers designed the Wright Model B?
Kieran Crichlow is a footballer from what island in the Lesser Antilles?,Kieran Crichlow is an international footballer from which island country in the Less
The home video game console that was developed by Sony Computer Entertainment is a platform for a racing video game developed by who?,Formula One 2001 is a racing video game for the PlayStation and PlayStation 2 developed by
What actor from Willow also starred in The Usual Suspects?,What American actor landed a role in Willow?
What American filmmaker was the co-founder of Troma Entertainment film studio Stanley Lloyd Kaufman Jr. or Jay T. Wright?,Who is the co-founder of Troma Entertainment film studio and the director of many
Are Southwest Florida International Airport and Henry E. Rohlsen Airport both in Florida?,Are Southwest Florida International Airport and Henry E. Rohlsen Airport located in the same
Matt Doheny lost his primary race to what current youngest woman ever elected to Congress?,Who was the youngest woman ever elected to Congress elected in 2014 at age 30?
Which was released first Hot Girls Wanted or China Blue?,Which documentary was released first Hot Girls Wanted or China Blue?
Look At Us Now is a song by American DJs based in which city ?,Look At Us Now is a song by an American DJ duo consisting of Robert Abisi
Charles Barton Chuck Kendall Jr. was reportedly interested in purchasing the Los Angeles Clippers from which Jewish-American businessman?,Who was the owner of the Los Angeles Clippers in 1982?
How many episodes were in the season of Rick and Morty that featured an episode called The Ricks Must Be Crazy?,The Ricks Must Be Crazy is the sixth episode in the second season of the American
The star of Under the Silver Lake made his debut in what film?,What 2007 ensemble drama did the director of Under the Silver Lake make his feature-film
Dorian Gray is the main character of what philosophical novel whose editor feared the story was indecent and deleted roughly five hundred words before publication?,What philosophical novel by Oscar Wilde first published complete in the July 1890 issue of Lipp
Darryl Kubian's O for a Muse of Fire is based upon the events surrounding which historical battle? ,The New Jersey Symphony Orchestra premiered Darryl's latest work O for a Muse of
Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Evan Samuel Williams is a Scottish former football goalkeeper who played for which professional association football
Where was the Barbadian singer which Rihanna was his then girlfriend raised in ,In what city was the girlfriend of Chris Brown born?
What was the name of the first soundtrack album made by the woman who is referred to as the Queen of Pop?,Who's That Girl Original Motion Picture Soundtrack is the first soundtrack album by an American
